route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1,1,32511111,Moreno,3251,0,1
1,1,32521211,Caballito,3252,1,2
1,1,32531111,Moreno,3253,0,1
1,1,32541211,Once,3254,1,2
1,1,32551112,Moreno (RÁPIDO),3255,0,1
1,1,32561211,Once,3256,1,2
1,1,32571111,Moreno,3257,0,1
1,1,32581212,Once (RÁPIDO),3258,1,2
1,1,32591111,Moreno,3259,0,1
1,1,32601211,Once,3260,1,2
1,1,32611111,Moreno,3261,0,1
1,1,32621211,Once,3262,1,2
1,1,32631111,Moreno,3263,0,1
1,1,32641211,Caballito,3264,1,2
1,1,32651111,Castelar,3265,0,1
1,1,32661211,Once,3266,1,2
1,1,32671111,Moreno,3267,0,1
1,1,32681211,Once,3268,1,2
1,1,32691111,Moreno,3269,0,1
1,1,32701212,Once (RÁPIDO),3270,1,2
1,1,32711111,Moreno,3271,0,1
1,1,32721211,Once,3272,1,2
1,1,32731111,Castelar,3273,0,1
1,1,32741211,Once,3274,1,2
1,1,32751111,Moreno,3275,0,1
1,1,32761211,Once,3276,1,2
1,1,32771111,Moreno,3277,0,1
1,1,32781211,Once,3278,1,2
1,1,32791111,Moreno,3279,0,1
1,1,32801212,Once (RÁPIDO),3280,1,2
1,1,32811111,Castelar,3281,0,1
1,1,32821211,Once,3282,1,2
1,1,32831111,Moreno,3283,0,1
1,1,32841211,Once,3284,1,2
1,1,32851111,Moreno,3285,0,1
1,1,32861211,Once,3286,1,2
1,1,32871111,Moreno,3287,0,1
1,1,32881212,Once (RÁPIDO),3288,1,2
